date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:56	1096/1096	---MCZ	200	added ('OK')	text/css	etag:W/%22448-624295181b84c%22	https://boxsafe.com.au/wp-content/plugins/the-events-calendar/src/resources/css/integrations/plugins/elementor/widgets/widget-base.min.css?ver=6.7.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/the-events-calendar/src/resources/css/integrations/plugins/elementor/widgets/widget-base.minbdeb.css	(from https://boxsafe.com.au/)
16:36:57	417/417	---MCZ	200	added ('OK')	text/css	etag:W/%221a1-62203e649e717%22	https://boxsafe.com.au/wp-content/plugins/woolementor/modules/partial-payment/css/front.css?ver=4.6.2	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/woolementor/modules/partial-payment/css/front83b6.css	(from https://boxsafe.com.au/)
16:36:59	591/591	---MCZ	200	added ('OK')	text/css	etag:W/%2224f-62203e649e32f%22	https://boxsafe.com.au/wp-content/plugins/woolementor/modules/badges/css/badges.css?ver=4.6.2	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/woolementor/modules/badges/css/badges83b6.css	(from https://boxsafe.com.au/)
16:37:00	703/703	---MCZ	200	added ('OK')	text/css	etag:W/%222bf-62203e649e32f%22	https://boxsafe.com.au/wp-content/plugins/woolementor/modules/currency-switcher/css/front.css?ver=4.6.2	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/woolementor/modules/currency-switcher/css/front83b6.css	(from https://boxsafe.com.au/)
16:37:01	5615/5615	---MCZ	200	added ('OK')	text/css	etag:W/%2215ef-62428f0717314%22	https://boxsafe.com.au/wp-content/plugins/the-events-calendar-community-events/src/resources/css/events-community-tickets.min.css?ver=4.9.5	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/the-events-calendar-community-events/src/resources/css/events-community-tickets.min55fe.css	(from https://boxsafe.com.au/)
16:37:02	5501/5501	---MCZ	200	added ('OK')	text/css	etag:W/%22157d-61be9f1d71ac0%22	https://boxsafe.com.au/wp-content/themes/hello-elementor/style.min.css?ver=3.1.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/themes/hello-elementor/style.min324d.css	(from https://boxsafe.com.au/)
16:37:04	5146/5146	---MCZ	200	added ('OK')	text/css	etag:W/%22141a-61be9f1d71ac0%22	https://boxsafe.com.au/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/themes/hello-elementor/theme.min324d.css	(from https://boxsafe.com.au/)
16:37:05	7212/7212	---MCZ	200	added ('OK')	text/css	etag:W/%221c2c-61be9f1d71ac0%22	https://boxsafe.com.au/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/themes/hello-elementor/header-footer.min324d.css	(from https://boxsafe.com.au/)
16:37:06	60575/60575	---MCZ	200	added ('OK')	text/css	etag:W/%22ec9f-62698de747c19%22	https://boxsafe.com.au/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.4	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/elementor/assets/css/frontend.min401f.css	(from https://boxsafe.com.au/)
16:37:08	107446/107446	---M--	200	added ('OK')	image/jpeg	etag:%221a3b6-61c08d7e9be00%22	https://boxsafe.com.au/wp-content/uploads/2024/06/courses-1.jpeg	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/uploads/2024/06/courses-1.jpg	(from https://boxsafe.com.au/)
16:37:11	492925/492925	---M--	200	added ('OK')	image/jpeg	etag:%227857d-6268da4cb7b20%22	https://boxsafe.com.au/wp-content/uploads/2024/11/boxsafe-gallery.jpg	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/uploads/2024/11/boxsafe-gallery.jpg	(from https://boxsafe.com.au/)
16:37:11	226870/226870	---M--	200	added ('OK')	image/png	etag:%2237636-61f9be41d2847%22	https://boxsafe.com.au/wp-content/uploads/2024/08/IMG_7635.png	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/uploads/2024/08/IMG_7635.png	(from https://boxsafe.com.au/)
